Spoken form, Cursorless identifier
blue, blue
green, green
pink, pink
red, red
yellow, yellow


# 2025-02-03 15:01:19 - New entries automatically added by cursorless
navy, userColor1

# 2025-02-03 15:15:53 - New entries automatically added by cursorless
apricot, userColor2

# 2025-02-12 18:01:49 - New entries automatically added by cursorless
curve, curve

# 2025-02-12 18:05:33 - New entries automatically added by cursorless
bolt, bolt

# 2025-02-12 18:05:47 - New entries automatically added by cursorless
frame, frame

# 2025-02-12 18:05:51 - New entries automatically added by cursorless
fox, fox

# 2025-02-12 18:05:57 - New entries automatically added by cursorless
wing, wing

# 2025-02-12 18:06:05 - New entries automatically added by cursorless
ex, ex

# 2025-02-12 18:06:15 - New entries automatically added by cursorless
eye, eye

# 2025-02-12 18:06:43 - New entries automatically added by cursorless
play, play
